iso3,year,country_id,region_id,g_whoregion,success,cohort,prop_success,e_inc_100k,e_mort_100k,c_cdr,year_z,e_inc_100k_z,e_mort_100k_z,c_cdr_z,e_tbhiv_prct,used_2021_defs_flg
SEN,2021,144,1,AFR,10874,13370,0.8133133881824981,136,28,57,0.9829437121428992,0.03246756683292284,0.07866435298061938,-0.7023545928025672,4,1
SEN,2022,144,1,AFR,13119,14604,0.8983155299917831,134,25,62,1.2809315323985255,0.02083787838806539,0.008804404530740235,-0.3748189657242311,3.5,1
SEN,2023,144,1,AFR,14290,16053,0.8901762910359434,133,21,70,1.5789193526541516,0.015023034165636663,-0.08434219340243196,0.14923803760110665,3.9,1
SRB,2012,150,4,EUR,1546,1851,0.8352242031334414,39,2.1,65,-1.6989466701577367,-0.5315723227426634,-0.5244598686366706,-0.17829758947722946,0.32,NA
SRB,2013,150,4,EUR,1118,1427,0.7834618079887876,43,1.9,67,-1.4009588499021106,-0.5083129458529485,-0.5291171985333293,-0.04728333864589502,0.32,NA
SRB,2014,150,4,EUR,1042,1281,0.8134270101483216,37,1.6,68,-1.1029710296464843,-0.5432020111875209,-0.5361031933783171,0.018223786769772203,0.31,NA
SRB,2015,150,4,EUR,1471,1647,0.8931390406800243,33,1.2,70,-0.8049832093908581,-0.5664613880772358,-0.5454178531716344,0.14923803760110665,0.31,NA
SRB,2016,150,4,EUR,1191,1443,0.8253638253638254,29,1.4,71,-0.5069953891352319,-0.5897207649669507,-0.5407605232749758,0.21474516301677388,0.31,NA
SRB,2017,150,4,EUR,1239,1440,0.8604166666666667,29,1.3,72,-0.20900756887960567,-0.5897207649669507,-0.543089188223305,0.2802522884324411,0.31,NA
SRB,2018,150,4,EUR,1032,1265,0.8158102766798419,26,1.2,74,0.08898025137602054,-0.6071652976342369,-0.5454178531716344,0.41126653926377554,0.31,NA
SRB,2019,150,4,EUR,513,602,0.8521594684385382,21,0.75,76,0.38696807163164676,-0.6362395187463805,-0.5558968454391162,0.54228079009511,0.31,NA
SRB,2020,150,4,EUR,347,434,0.7995391705069125,21,0.76,30,0.684955891887273,-0.6362395187463805,-0.5556639789442832,-2.4710469790255822,0.31,1
SRB,2021,150,4,EUR,381,446,0.8542600896860987,19,0.64,34,0.9829437121428992,-0.647869207191238,-0.5584583768822784,-2.209018477362913,0.31,0
SRB,2022,150,4,EUR,880,1047,0.8404966571155683,17,0.81,91,1.2809315323985255,-0.6594988956360954,-0.5544996464701186,1.5248876713301183,0.31,1
SRB,2023,150,4,EUR,352,475,0.7410526315789474,20,1.1,76,1.5789193526541516,-0.6420543629688092,-0.5477465181199636,0.54228079009511,0.31,1
SLE,2014,147,1,AFR,10379,12191,0.85136576162743,455,136,40,-1.1029710296464843,1.887402873787686,2.593622497176269,-1.81597572486891,12,NA
SLE,2016,147,1,AFR,11118,12497,0.8896535168440426,437,123,45,-0.5069953891352319,1.782735677783969,2.290896053893459,-1.4884400977905738,14,NA
SLE,2017,147,1,AFR,14363,15935,0.9013492312519611,429,109,50,-0.20900756887960567,1.736216924004539,1.9648829611273564,-1.1609044707122378,12,NA
SLE,2018,147,1,AFR,15247,17144,0.8893490433971069,420,100,54,0.08898025137602054,1.6838833260026806,1.755303115777719,-0.8988759690495689,13,NA
SLE,2019,147,1,AFR,15623,17794,0.8779925817691356,412,95,56,0.38696807163164676,1.6373645722232508,1.6388698683612537,-0.7678617182182345,13,NA
SLE,2020,147,1,AFR,13914,15706,0.8859034763784541,403,106,49,0.684955891887273,1.5850309742213924,1.8950230126774774,-1.226411596127905,14,1
SLE,2021,147,1,AFR,16083,17669,0.9102382704171147,395,94,55,0.9829437121428992,1.5385122204419626,1.6155832188779606,-0.8333688436339016,15,1
SLE,2022,147,1,AFR,17619,19081,0.9233792778156281,388,82,60,1.2809315323985255,1.4978083108849614,1.336143425078444,-0.5058332165555656,13,1
SLE,2023,147,1,AFR,19937,21756,0.9163908806765949,380,67,68,1.5789193526541516,1.4512895571055315,0.9868436828290483,0.018223786769772203,13,1
SGP,2013,145,6,WPR,1656,2142,0.773109243697479,48,1.3,83,-1.4009588499021106,-0.4792387247408049,-0.543089188223305,1.0008306680047805,2.8,NA
SGP,2014,145,6,WPR,1663,2143,0.7760149323378441,47,1.5,84,-1.1029710296464843,-0.48505356896323365,-0.5384318583266464,1.0663377934204477,2.7,NA
SGP,2015,145,6,WPR,1684,2143,0.7858142790480634,46,1,86,-0.8049832093908581,-0.4908684131856624,-0.550075183068293,1.1973520442517822,1.8,NA
SGP,2016,145,6,WPR,1915,2435,0.7864476386036962,51,1,87,-0.5069953891352319,-0.46179419207351874,-0.550075183068293,1.2628591696674494,1.6,NA
SGP,2017,145,6,WPR,1821,2300,0.7917391304347826,48,0.79,87,-0.20900756887960567,-0.4792387247408049,-0.5549653794597845,1.2628591696674494,1.5,NA
SGP,2018,145,6,WPR,1847,2298,0.8037423846823325,47,0.7,88,0.08898025137602054,-0.48505356896323365,-0.5570611779132809,1.3283662950831165,1.3,NA
SGP,2019,145,6,WPR,1638,2072,0.7905405405405406,42,0.56,88,0.38696807163164676,-0.5141277900753772,-0.5603213088409419,1.3283662950831165,1.9,NA
SGP,2020,145,6,WPR,1853,2335,0.793576017130621,47,0.5,88,0.684955891887273,-0.48505356896323365,-0.5617185078099395,1.3283662950831165,0.98,1
SGP,2021,145,6,WPR,1857,2370,0.7835443037974683,50,0.31,89,0.9829437121428992,-0.46760903629594747,-0.5661429712117652,1.393873420498784,0.84,1
SGP,2022,145,6,WPR,1906,2596,0.734206471494607,53,0.48,89,1.2809315323985255,-0.4501645036286613,-0.5621842407996053,1.393873420498784,0.97,1
SGP,2023,145,6,WPR,1522,2044,0.7446183953033269,41,0.48,89,1.5789193526541516,-0.519942634297806,-0.5621842407996053,1.393873420498784,1.3,1
SVK,2012,154,4,EUR,302,343,0.880466472303207,7.8,0.32,76,-1.6989466701577367,-0.7129954624824396,-0.5659101047169323,0.54228079009511,0,NA
SVK,2013,154,4,EUR,370,395,0.9367088607594937,9.5,0.38,78,-1.4009588499021106,-0.7031102273043108,-0.5645129057479347,0.6732950409264444,0,NA
SVK,2014,154,4,EUR,280,318,0.8805031446540881,7.5,0.64,79,-1.1029710296464843,-0.7147399157491683,-0.5584583768822784,0.7388021663421116,0,NA
SVK,2015,154,4,EUR,263,305,0.8622950819672132,7,0.64,81,-0.8049832093908581,-0.7176473378603826,-0.5584583768822784,0.869816417173446,0.3,NA
SVK,2016,154,4,EUR,241,279,0.8637992831541219,6.3,0.48,82,-0.5069953891352319,-0.7217177288160828,-0.5621842407996053,0.9353235425891133,0.34,NA
SVK,2017,154,4,EUR,204,222,0.918918918918919,5,0.53,84,-0.20900756887960567,-0.72927702630524,-0.5610199083254407,1.0663377934204477,0,NA
SVK,2018,154,4,EUR,249,271,0.9188191881918819,6.1,0.5,83,0.08898025137602054,-0.7228806976605685,-0.5617185078099395,1.0008306680047805,0.53,NA
SVK,2019,154,4,EUR,196,209,0.937799043062201,4.8,0.3,82,0.38696807163164676,-0.7304399951497258,-0.566375837706598,0.9353235425891133,2.7,NA
SVK,2020,154,4,EUR,130,152,0.8552631578947368,3.4,0.42,82,0.684955891887273,-0.738580777061126,-0.5635814397686029,0.9353235425891133,2.7,1
SVK,2021,154,4,EUR,115,131,0.8778625954198473,3,0.34,82,0.9829437121428992,-0.7409067147500975,-0.5654443717272664,0.9353235425891133,3.1,1
SVK,2022,154,4,EUR,123,138,0.8913043478260869,3.2,0.56,82,1.2809315323985255,-0.7397437459056118,-0.5603213088409419,0.9353235425891133,3.1,1
SVK,2023,154,4,EUR,178,198,0.898989898989899,4.6,0.54,82,1.5789193526541516,-0.7316029639942115,-0.5607870418306078,0.9353235425891133,3.1,1
SVN,2012,155,4,EUR,112,138,0.8115942028985508,8.4,0.54,77,-1.6989466701577367,-0.7095065559489824,-0.5607870418306078,0.6077879155107772,0,NA
SVN,2013,155,4,EUR,107,139,0.7697841726618705,8.6,0.46,78,-1.4009588499021106,-0.7083435871044967,-0.5626499737892712,0.6732950409264444,0.95,NA
SVN,2014,155,4,EUR,110,142,0.7746478873239436,8.7,1,79,-1.1029710296464843,-0.7077621026822538,-0.550075183068293,0.7388021663421116,0,NA
SVN,2015,155,4,EUR,105,129,0.813953488372093,7.8,0.54,80,-0.8049832093908581,-0.7129954624824396,-0.5607870418306078,0.8043092917577789,0,NA
SVN,2016,155,4,EUR,84,118,0.711864406779661,7,0.36,82,-0.5069953891352319,-0.7176473378603826,-0.5649786387376005,0.9353235425891133,1.1,NA
SVN,2017,155,4,EUR,85,111,0.7657657657657657,6.5,0.36,83,-0.20900756887960567,-0.720554759971597,-0.5649786387376005,1.0008306680047805,0.89,NA
SVN,2018,155,4,EUR,76,98,0.7755102040816326,5.6,0.31,84,0.08898025137602054,-0.7257881197717829,-0.5661429712117652,1.0663377934204477,0.89,NA
SVN,2019,155,4,EUR,69,98,0.7040816326530612,5.5,0.7,85,0.38696807163164676,-0.7263696041940257,-0.5570611779132809,1.131844918836115,1.4,NA
SVN,2020,155,4,EUR,55,74,0.7432432432432432,4.2,0.82,85,0.684955891887273,-0.733928901683183,-0.5542667799752857,1.131844918836115,0,1
SVN,2021,155,4,EUR,58,78,0.7435897435897436,4.4,0.57,85,0.9829437121428992,-0.7327659328386973,-0.560088442346109,1.131844918836115,0,1
SVN,2022,155,4,EUR,52,72,0.7222222222222222,4,0.54,85,1.2809315323985255,-0.7350918705276688,-0.5607870418306078,1.131844918836115,0,1
SVN,2023,155,4,EUR,64,85,0.7529411764705882,4.7,0.13,85,1.5789193526541516,-0.7310214795719687,-0.5703345681187579,1.131844918836115,2.9,1
SLB,2012,146,6,WPR,318,361,0.8808864265927978,165,46,38,-1.6989466701577367,0.20109804928335584,0.49782404367989425,-1.9469899757002445,NA,NA
SLB,2013,146,6,WPR,341,361,0.9445983379501385,153,42,39,-1.4009588499021106,0.13131991861421116,0.4046774457467221,-1.8814828502845773,NA,NA
SLB,2014,146,6,WPR,314,345,0.9101449275362319,137,37,41,-1.1029710296464843,0.03828241105535156,0.28824419833025683,-1.7504685994532427,NA,NA
SLB,2015,146,6,WPR,390,416,0.9375,155,41,42,-0.8049832093908581,0.1429496070590686,0.38139079626342903,-1.6849614740375756,NA,NA
SLB,2016,146,6,WPR,377,402,0.9378109452736318,141,36,43,-0.5069953891352319,0.06154178794506646,0.26495754884696376,-1.6194543486219084,NA,NA
SLB,2017,146,6,WPR,345,373,0.9249329758713136,124,31,44,-0.20900756887960567,-0.037310563836221854,0.14852430143049852,-1.553947223206241,NA,NA
SLB,2018,146,6,WPR,356,387,0.9198966408268734,124,32,44,0.08898025137602054,-0.037310563836221854,0.1718109509137916,-1.553947223206241,NA,NA
SLB,2019,146,6,WPR,339,357,0.9495798319327731,111,28,44,0.38696807163164676,-0.11290353872779528,0.07866435298061938,-1.553947223206241,NA,NA
SLB,2020,146,6,WPR,297,324,0.9166666666666666,97,24,44,0.684955891887273,-0.19431135784179743,-0.014482244952552814,-1.553947223206241,NA,0
SLB,2021,146,6,WPR,354,370,0.9567567567567568,108,27,45,0.9829437121428992,-0.13034807139508145,0.05537770349732633,-1.4884400977905738,NA,0
SLB,2022,146,6,WPR,127,135,0.9407407407407408,97,24,45,1.2809315323985255,-0.19431135784179743,-0.014482244952552814,-1.4884400977905738,NA,1
SLB,2023,146,6,WPR,259,281,0.9217081850533808,97,24,45,1.5789193526541516,-0.19431135784179743,-0.014482244952552814,-1.4884400977905738,NA,1
SOM,2012,149,3,EMR,10479,11975,0.8750730688935282,192,45,50,-1.6989466701577367,0.35809884328893143,0.47453739419660124,-1.1609044707122378,3.1,NA
SOM,2013,149,3,EMR,11111,12994,0.855086963213791,187,41,54,-1.4009588499021106,0.3290246221767878,0.38139079626342903,-0.8988759690495689,2.6,NA
SOM,2014,149,3,EMR,11114,12903,0.8613500736262885,188,43,51,-1.1029710296464843,0.3348394663992165,0.4279640952300151,-1.0953973452965706,2.3,NA
SOM,2015,149,3,EMR,11723,13982,0.8384351308825633,187,41,54,-0.8049832093908581,0.3290246221767878,0.38139079626342903,-0.8988759690495689,1.7,NA
SOM,2016,149,3,EMR,12438,14170,0.8777699364855328,184,40,54,-0.5069953891352319,0.3115800895095016,0.35810414678013597,-0.8988759690495689,1.5,NA
SOM,2017,149,3,EMR,14302,16627,0.860167197931076,182,34,61,-0.20900756887960567,0.29995040106464416,0.2183842498803777,-0.44032609113989835,1.1,NA
SOM,2018,149,3,EMR,14394,16614,0.8663777537016973,179,34,60,0.08898025137602054,0.282505868397358,0.2183842498803777,-0.5058332165555656,1.2,NA
SOM,2019,149,3,EMR,15542,16918,0.9186665090436221,175,34,60,0.38696807163164676,0.2592464915076431,0.2183842498803777,-0.5058332165555656,0.91,NA
SOM,2020,149,3,EMR,15122,16888,0.8954287067740407,171,33,60,0.684955891887273,0.2359871146179282,0.19509760039708463,-0.5058332165555656,0.77,0
SOM,2021,149,3,EMR,16231,17422,0.9316381586499828,167,32,60,0.9829437121428992,0.2127277377282133,0.1718109509137916,-0.5058332165555656,0.91,0
SOM,2022,149,3,EMR,16758,18458,0.907899013977679,162,28,64,1.2809315323985255,0.18365351661606968,0.07866435298061938,-0.24380471489289668,0.77,1
SOM,2023,149,3,EMR,17336,18571,0.9334984653492003,157,27,65,1.5789193526541516,0.15457929550392605,0.05537770349732633,-0.17829758947722946,0.59,0
